%Atmospheric Temperature [K],qa,Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage [V],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%10/27/202111:10 AM
294.279,82111.852,0.972,6.766,22.251,23.297,0,3917.671,-2074.149,67.423,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.201,82070.977,0.972,6.767,22.251,23.216,0,3917.671,-2074.149,-104.296,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.201,82070.977,0.972,6.767,22.251,23.216,0,3917.671,-2074.149,-104.296,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.163,82049.344,0.972,6.764,22.227,23.268,0,3917.671,-2074.149,69.853,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.163,82049.344,0.972,6.764,22.227,23.268,0,3917.671,-2074.149,69.853,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.284,82112.492,0.972,6.742,22.091,23.201,0,3917.671,-2074.149,28.397,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.209,82076.461,0.972,6.76,22.205,23.229,0,3917.671,-2074.149,49.046,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.209,82076.461,0.972,6.76,22.205,23.229,0,3917.671,-2074.149,49.046,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.164,82049.727,0.972,6.734,22.034,23.307,0,3917.671,-2074.149,-36.711,-0.035,0.046,1.5,,,,,,,,,,,,,,,,,
294.164,82049.727,0.972,6.734,22.034,23.307,0,3917.671,-2074.149,-36.711,-0.035,0.046,1.5,,,,,,,,,,,,,,,,,
294.212,82076.203,0.972,6.735,22.099,23.307,0,3917.671,-2074.149,104.223,-0.034,0.046,1.5,,,,,,,,,,,,,,,,,
294.212,82076.203,0.972,6.735,22.04,23.14,0,3917.671,-2074.149,104.223,-0.034,0.046,1.5,,,,,,,,,,,,,,,,,
294.281,82106.555,0.972,6.755,22.178,23.217,0,3917.671,-2074.149,30.205,-0.034,0.046,1.5,,,,,,,,,,,,,,,,,
294.281,82106.555,0.972,6.755,22.178,23.217,0,3917.671,-2074.149,30.205,-0.034,0.046,1.5,,,,,,,,,,,,,,,,,
294.285,82112.82,0.972,6.691,21.761,23.164,0,3917.671,-2074.149,36.127,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.285,82112.82,0.972,6.691,21.761,23.164,0,3917.671,-2074.149,36.127,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.222,82080.469,0.972,6.714,21.907,23.099,0,3917.671,-2074.149,81.517,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.288,82113.461,0.972,6.73,22.067,23.112,0,3917.671,-2074.149,-9.217,-0.034,0.045,1.5,,,,,,,,,,,,,,,,,
294.161,82050.57,0.972,6.728,22.012,23.105,0,3917.671,-2074.149,81.537,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.28,82110.367,0.972,6.704,21.995,23.21,0,3917.671,-2074.149,73.325,-0.035,0.045,1.5,,,,,,,,,,,,,,,,,
294.686,82070.977,0.97,17.611,150.458,156.448,0,3917.671,-2074.149,-104.296,-0.035,0.045,3.5,,,,,,,,,,,,,,,,,
294.697,82077.492,0.97,17.641,150.984,156.639,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.599,82030.094,0.97,17.669,150.984,156.639,0,3917.671,-2074.149,-104.296,-0.034,0.046,3.5,,,,,,,,,,,,,,,,,
294.619,82037.656,0.97,17.659,151.249,156.748,0,3917.671,-2074.149,-104.296,-0.035,0.046,3.5,,,,,,,,,,,,,,,,,
294.677,82067.164,0.97,17.656,151.226,156.817,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.566,82010.922,0.97,17.673,151.226,156.817,0,3917.671,-2074.149,-104.296,-0.034,0.046,3.5,,,,,,,,,,,,,,,,,
294.699,82077.234,0.97,17.679,151.629,156.865,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.699,82077.234,0.97,17.679,151.629,156.865,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.627,82041.789,0.97,17.672,151.481,156.997,0,3917.671,-2074.149,-104.296,-0.035,0.045,3.5,,,,,,,,,,,,,,,,,
294.627,82041.789,0.97,17.672,151.481,156.997,0,3917.671,-2074.149,-104.296,-0.035,0.045,3.5,,,,,,,,,,,,,,,,,
294.564,82011.367,0.97,17.664,151.308,156.995,0,3917.671,-2074.149,-104.296,-0.035,0.045,3.5,,,,,,,,,,,,,,,,,
294.69,82073.625,0.97,17.653,151.176,156.947,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.69,82073.625,0.97,17.653,151.176,156.947,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.623,82038.555,0.97,17.672,151.475,157.063,0,3917.671,-2074.149,-104.296,-0.035,0.045,3.5,,,,,,,,,,,,,,,,,
294.683,82068.844,0.97,17.669,151.451,157.168,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.683,82068.844,0.97,17.669,151.451,157.168,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.578,82016.539,0.97,17.667,151.368,157.294,0,3917.671,-2074.149,-104.296,-0.035,0.046,3.5,,,,,,,,,,,,,,,,,
294.611,82031.195,0.97,17.703,151.998,157.41,0,3917.671,-2074.149,-104.296,-0.034,0.046,3.5,,,,,,,,,,,,,,,,,
294.624,82038.945,0.97,17.69,151.783,157.372,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.624,82038.945,0.97,17.69,151.783,157.372,0,3917.671,-2074.149,-104.296,-0.034,0.045,3.5,,,,,,,,,,,,,,,,,
294.217,82081.109,0.972,29.821,431.436,448.482,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.237,82088.602,0.972,29.807,431.764,448.955,0,3917.671,-2074.149,104.223,-0.035,0.046,5.5,,,,,,,,,,,,,,,,,
294.15,82044.5,0.972,29.804,431.556,448.984,0,3917.671,-2074.149,104.223,-0.035,0.046,5.5,,,,,,,,,,,,,,,,,
294.286,82113.852,0.972,29.818,432.133,448.626,0,3917.671,-2074.149,104.223,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.197,82071.297,0.972,29.821,432.128,448.497,0,3917.671,-2074.149,104.223,-0.035,0.045,5.5,,,,,,,,,,,,,,,,,
294.236,82086.922,0.972,29.803,431.615,448.877,0,3917.671,-2074.149,104.223,-0.035,0.045,5.5,,,,,,,,,,,,,,,,,
294.248,82095.32,0.972,29.83,432.445,448.837,0,3917.671,-2074.149,104.223,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.248,82095.32,0.972,29.83,432.445,448.837,0,3917.671,-2074.149,104.223,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.272,82106.812,0.972,29.831,432.502,448.517,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.272,82106.812,0.972,29.831,432.502,448.517,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.245,82097,0.972,29.789,431.277,448.563,0,3917.671,-2074.149,104.223,-0.035,0.046,5.5,,,,,,,,,,,,,,,,,
294.26,82098.094,0.972,29.82,432.15,448.746,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.26,82098.094,0.972,29.82,432.15,448.746,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.262,82103.586,0.972,29.775,430.856,448.173,0,3917.671,-2074.149,104.223,-0.035,0.045,5.5,,,,,,,,,,,,,,,,,
294.175,82056.898,0.972,29.813,430.856,448.173,0,3917.671,-2074.149,-104.296,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.175,82056.898,0.972,29.813,431.852,448.242,0,3917.671,-2074.149,-104.296,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.266,82104.102,0.972,29.758,430.385,448.162,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.164,82051.727,0.972,29.788,430.385,448.162,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.164,82051.727,0.972,29.788,431.11,448.156,0,3917.671,-2074.149,104.223,-0.034,0.045,5.5,,,,,,,,,,,,,,,,,
294.272,82107.07,0.972,29.743,429.952,447.945,0,3917.671,-2074.149,104.223,-0.034,0.046,5.5,,,,,,,,,,,,,,,,,
294.265,82097.383,0.972,41.226,827.353,868.404,0,3917.671,-2074.149,14.791,-0.035,0.045,7.5,,,,,,,,,,,,,,,,,
294.227,82079.562,0.972,41.203,825.938,868.259,0,3917.671,-2074.149,104.223,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.227,82079.562,0.972,41.203,824.95,868.695,0,3917.671,-2074.149,104.223,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.19,82061.547,0.972,41.215,825.364,869.379,0,3917.671,-2074.149,38.191,-0.035,0.046,7.5,,,,,,,,,,,,,,,,,
294.168,82051.539,0.972,41.24,825.71,867.706,0,3917.671,-2074.149,15.483,-0.035,0.045,7.5,,,,,,,,,,,,,,,,,
294.27,82101.328,0.972,41.252,827,869.308,0,3917.671,-2074.149,104.223,-0.034,0.046,7.5,,,,,,,,,,,,,,,,,
294.27,82101.328,0.972,41.252,827,869.308,0,3917.671,-2074.149,104.223,-0.034,0.046,7.5,,,,,,,,,,,,,,,,,
294.183,82058.383,0.972,41.213,825.259,868.6,0,3917.671,-2074.149,45.597,-0.035,0.046,7.5,,,,,,,,,,,,,,,,,
294.284,82107.914,0.972,41.22,825.259,868.6,0,3917.671,-2074.149,69.007,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.284,82107.914,0.972,41.22,825.732,868.024,0,3917.671,-2074.149,69.007,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.256,82094.805,0.972,41.201,824.931,867.872,0,3917.671,-2074.149,104.223,-0.035,0.046,7.5,,,,,,,,,,,,,,,,,
294.211,82071.617,0.972,41.122,821.682,866.969,0,3917.671,-2074.149,-17.146,-0.035,0.046,7.5,,,,,,,,,,,,,,,,,
294.211,82071.617,0.972,41.122,821.682,866.969,0,3917.671,-2074.149,-17.146,-0.035,0.046,7.5,,,,,,,,,,,,,,,,,
294.303,82117.984,0.972,41.225,825.998,866.736,0,3917.671,-2074.149,11.721,-0.035,0.045,7.5,,,,,,,,,,,,,,,,,
294.176,82053.219,0.972,41.201,825.998,866.736,0,3917.671,-2074.149,61.769,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.176,82053.219,0.972,41.201,824.719,866.558,0,3917.671,-2074.149,61.769,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.259,82100.164,0.972,41.169,823.678,866.514,0,3917.671,-2074.149,51.667,-0.034,0.045,7.5,,,,,,,,,,,,,,,,,
294.199,82065.742,0.972,41.179,823.917,866.148,0,3917.671,-2074.149,42.484,-0.034,0.046,7.5,,,,,,,,,,,,,,,,,
294.274,82102.617,0.972,41.155,823.107,866.582,0,3917.671,-2074.149,-104.296,-0.035,0.045,7.5,,,,,,,,,,,,,,,,,
294.274,82102.617,0.972,41.155,823.107,866.582,0,3917.671,-2074.149,-104.296,-0.035,0.045,7.5,,,,,,,,,,,,,,,,,
294.196,82076.852,0.972,52.795,1354.486,1425.662,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
294.145,82041.656,0.972,52.818,1355.474,1425.23,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
294.258,82104.227,0.972,52.865,1358.264,1426.728,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
294.206,82073.234,0.972,52.919,1358.264,1426.728,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.099,82021.641,0.972,52.888,1358.84,1429.305,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.099,82021.641,0.972,52.888,1358.84,1429.305,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.15,82049.211,0.972,53.009,1365.284,1431.044,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.15,82049.211,0.972,53.009,1365.284,1431.044,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.197,82075.945,0.972,52.906,1360.188,1431.752,0,3917.671,-2074.149,104.223,-0.034,0.045,9.5,,,,,,,,,,,,,,,,,
294.197,82075.945,0.972,52.906,1360.188,1431.752,0,3917.671,-2074.149,104.223,-0.034,0.045,9.5,,,,,,,,,,,,,,,,,
294.225,82093.383,0.972,52.955,1362.867,1431.354,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
294.225,82093.383,0.972,52.955,1362.867,1431.354,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
294.105,82024.477,0.972,52.926,1360.811,1432.262,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.199,82072.461,0.972,53.048,1367.436,1432.681,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.199,82072.461,0.972,53.048,1367.436,1432.681,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.263,82109.523,0.972,53.019,1366.24,1434.233,0,3917.671,-2074.149,104.223,-0.034,0.045,9.5,,,,,,,,,,,,,,,,,
294.131,82036.102,0.972,52.921,1360.605,1434.111,0,3917.671,-2074.149,104.223,-0.036,0.046,9.5,,,,,,,,,,,,,,,,,
294.131,82036.102,0.972,52.921,1360.605,1434.111,0,3917.671,-2074.149,104.223,-0.036,0.046,9.5,,,,,,,,,,,,,,,,,
294.189,82071.492,0.972,53.023,1366.202,1433.55,0,3917.671,-2074.149,104.223,-0.035,0.046,9.5,,,,,,,,,,,,,,,,,
294.193,82070.461,0.972,53.012,1365.556,1434.286,0,3917.671,-2074.149,104.223,-0.035,0.045,9.5,,,,,,,,,,,,,,,,,
