%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage [V],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],%10/27/202111:29 AM
294.24,82084.016,0.972,1.528,1.134,1.228,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.183,82054.57,0.972,1.549,1.141,1.272,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.298,82110.945,0.972,1.562,1.186,1.197,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.298,82110.945,0.972,1.562,1.186,1.197,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.205,82066.969,0.972,1.521,1.123,1.179,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.273,82099.391,0.972,1.513,1.112,1.06,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.273,82099.391,0.972,1.513,1.112,1.06,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.183,82054.961,0.972,1.531,1.139,1.128,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.243,82084.148,0.972,1.561,1.185,1.276,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.243,82084.148,0.972,1.561,1.185,1.276,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.274,82099.711,0.972,1.522,1.197,1.24,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.18,82051.992,0.972,1.562,1.185,1.157,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.297,82111.336,0.972,1.577,1.209,1.149,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.297,82111.336,0.972,1.577,1.209,1.149,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.244,82083.437,0.972,1.559,1.181,1.195,0,3917.671,-2074.149,104.223,-0.035,0.046,0.5,,,,,,,,,,,,,,,,,
294.275,82098.289,0.972,1.483,1.181,1.195,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.275,82098.289,0.972,1.483,1.069,1.211,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.197,82062.383,0.972,1.493,1.083,1.237,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
273.15,10000,0.128,4.247,1.15,1.176,0,3917.671,-2074.149,104.223,0,0,0.5,,,,,,,,,,,,,,,,,
294.236,82077.625,0.972,1.546,1.15,1.176,0,3917.671,-2074.149,104.223,-0.035,0.045,0.5,,,,,,,,,,,,,,,,,
294.629,82049.664,0.97,11.938,68.922,72.105,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.629,82049.664,0.97,11.938,69.129,72.109,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.572,82022.672,0.97,11.895,69.066,71.937,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.572,82022.672,0.97,11.895,68.63,71.982,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.578,82026.352,0.97,11.93,69.033,72.186,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.578,82026.352,0.97,11.93,69.033,72.186,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.652,82063.68,0.97,11.95,68.877,72.092,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.573,82021.57,0.97,11.924,68.954,72.183,0,3917.671,-2074.149,104.223,-0.036,0.046,2.5,,,,,,,,,,,,,,,,,
294.689,82078.984,0.97,11.939,69.151,72.049,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.689,82078.984,0.97,11.939,69.151,72.049,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.585,82028.289,0.97,11.913,68.836,72.232,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.564,82017.766,0.97,11.926,68.858,72.183,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.564,82017.766,0.97,11.926,68.982,72.163,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.684,82080.531,0.97,11.926,69.003,71.954,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.591,82028.867,0.97,11.898,68.659,72.085,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.63,82049.797,0.97,11.921,68.938,71.96,0,3917.671,-2074.149,104.223,-0.035,0.046,2.5,,,,,,,,,,,,,,,,,
294.655,82065.031,0.97,11.938,69.14,71.88,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.655,82065.031,0.97,11.938,69.14,71.88,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.679,82074.594,0.97,11.897,68.671,72.066,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.679,82074.594,0.97,11.897,68.671,72.066,0,3917.671,-2074.149,104.223,-0.035,0.045,2.5,,,,,,,,,,,,,,,,,
294.598,82036.555,0.97,24.06,280.785,292.536,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.66,82071.687,0.97,24.097,281.705,292.653,0,3917.671,-2074.149,104.223,-0.035,0.045,4.5,,,,,,,,,,,,,,,,,
294.673,82073.43,0.97,24.07,281.067,292.789,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.595,82037.008,0.97,24.098,281.067,292.789,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.595,82037.008,0.97,24.098,281.682,292.576,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.659,82069.164,0.97,24.091,281.579,292.42,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.549,82014.344,0.97,24.05,281.579,292.42,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.549,82014.344,0.97,24.05,280.526,292.82,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
294.574,82023.898,0.97,24.077,281.163,292.1,0,3917.671,-2074.149,104.223,-0.035,0.046,4.5,,,,,,,,,,,,,,,,,
